"","probeset_id","log2_Day3_Norm.B6","log2_Day7_Norm.B6","log2_Day14_Norm.B6","log2_Day3_Norm.MRL","log2_Day7_Norm.MRL","log2_Day14_Norm.MRL","Day0_B6_Average","Day0_B6_1","Day0_B6_2","Day0_B6_3","Day0_MRL_Average","Day0_MRL_1","Day0_MRL_2","Day0_MRL_3","Day3_B6_Average","Day3_B6_1","Day3_B6_2","Day3_B6_3","Day3_MRL_Average","Day3_MRL_1","Day3_MRL_2","Day3_MRL_3","Day7_B6_Average","Day7_B6_1","Day7_B6_2","Day7_B6_3","Day7_MRL_Average","Day7_MRL_1","Day7_MRL_2","Day7_MRL_3","Day14_B6_Average","Day14_B6_1","Day14_B6_2","Day14_B6_3","Day14_MRL_Average","Day14_MRL_1","Day14_MRL_2","Day14_MRL_3","log2_Day0_B6_Ave","log_Day0_MRL_Ave","log2_Day3_B6_Ave","log2_Day3_MRL_Ave","log2_Day7_B6_Ave","log_Day7_MRL_Ave","log2_Day14_B6_Ave","log_Day14_MRL_Ave"
"Day3_B6_3",-0.0304848253726959,0.201120749115944,0.201259315013885,0.20513904094696,-0.10008804500103,-0.0741242170333862,-0.118954345583916,0.853506088256836,0.857220768928528,0.85367351770401,0.842113733291626,0.964600801467896,0.960396349430084,0.963305473327637,0.962040364742279,0.990625143051147,0.976605355739594,0.978655874729156,1,0.890852332115173,0.876360833644867,0.897507965564728,0.889630258083344,0.946049153804779,0.935616910457611,0.952730059623718,0.941521823406219,0.913559556007385,0.9121173620224,0.912690460681915,0.905421257019043,0.919872283935547,0.91538804769516,0.920996427536011,0.907047092914581,0.885158240795135,0.882860600948334,0.880689680576324,0.881759285926819,0.600488781929016,0.655977368354797,0.672942399978638,0.613903403282166,0.645559549331665,0.625629484653473,0.629305303096771,0.616897523403168
"Day3_MRL_Average",-0.0332650654017925,-0.0540387369692326,0.000117122704978101,0.0517926961183548,0.146515548229218,-0.00455986754968762,0.0326995514333248,0.955534875392914,0.960864961147308,0.956626176834106,0.940747082233429,0.955593287944794,0.955507457256317,0.949122905731201,0.954076051712036,0.899464905261993,0.894480466842651,0.897141933441162,0.890852332115173,1,0.995120406150818,0.996536374092102,0.997793853282928,0.913321018218994,0.91476708650589,0.904817759990692,0.91161835193634,0.919241189956665,0.919029772281647,0.923456788063049,0.904751479625702,0.93585342168808,0.92435222864151,0.942134618759155,0.924390077590942,0.942581593990326,0.939111232757568,0.943082571029663,0.935338258743286,0.643280863761902,0.650873005390167,0.635824918746948,0.659079372882843,0.630508601665497,0.633032739162445,0.635588407516479,0.642640590667725
"Day3_MRL_1",-0.0322954095900059,-0.0625586286187172,-0.00160802225582302,0.0507844649255276,0.157817244529724,-0.00139737827703357,0.0406754538416862,0.947666764259338,0.952653229236603,0.950067579746246,0.932016789913177,0.944183945655823,0.944093406200409,0.938278257846832,0.942179024219513,0.884016990661621,0.878519594669342,0.881580650806427,0.876360833644867,0.995120406150818,1,0.985520303249359,0.989087045192719,0.903776526451111,0.906539857387543,0.895765244960785,0.90041184425354,0.909449934959412,0.907451033592224,0.915325105190277,0.895162403583527,0.927836954593658,0.914182603359222,0.933712184429169,0.919220149517059,0.935645043849945,0.931942522525787,0.937040507793427,0.927913308143616,0.645815908908844,0.65223091840744,0.635708272457123,0.662688851356506,0.632504403591156,0.634917676448822,0.637814819812775,0.645583689212799
"Day3_MRL_2",-0.0341088138520718,-0.0436869077384472,0.00960366427898407,0.0560981594026089,0.13523405790329,0.000661442463751882,0.0281636938452721,0.955223441123962,0.960401117801666,0.956692039966583,0.94022274017334,0.958247125148773,0.957552254199982,0.952150404453278,0.956975281238556,0.90647292137146,0.901663661003113,0.904182970523834,0.897507965564728,0.996536374092102,0.985520303249359,1,0.993804275989532,0.918880641460419,0.919814944267273,0.909696698188782,0.918263554573059,0.92459499835968,0.925512194633484,0.927575469017029,0.910174369812012,0.937694370746613,0.928623199462891,0.94352400302887,0.924152433872223,0.942596316337585,0.939527750015259,0.942917466163635,0.93513560295105,0.636799275875092,0.645731151103973,0.632514417171478,0.651815354824066,0.626843929290771,0.628954172134399,0.630292594432831,0.636696934700012
"Day3_MRL_3",-0.0330711528658867,-0.0549681633710861,-0.00741537660360336,0.04805713519454,0.14456382393837,-0.012819878757,0.0287164971232414,0.953739702701569,0.959510743618011,0.95312488079071,0.940188765525818,0.954482614994049,0.954998195171356,0.947143256664276,0.953235030174255,0.898775696754456,0.894191741943359,0.896559715270996,0.889630258083344,0.997793853282928,0.989087045192719,0.993804275989532,1,0.90792578458786,0.908523619174957,0.899679780006409,0.906862139701843,0.914234757423401,0.914731562137604,0.917933821678162,0.899625480175018,0.932310819625854,0.920734047889709,0.939378499984741,0.920119166374207,0.939660906791687,0.936069071292877,0.939426958560944,0.93320095539093,0.640277326107025,0.647671043872833,0.632483184337616,0.655586838722229,0.625430583953857,0.628445208072662,0.63181871175766,0.638704538345337
"Day7_B6_Average",-0.0319730080664158,0.100046582520008,0.19224625825882,0.200715646147728,-0.0280311703681946,0.0431448854506016,-0.0112003767862916,0.890460729598999,0.893952071666718,0.891424715518951,0.878188133239746,0.964042961597443,0.957250416278839,0.970164775848389,0.956506848335266,0.955635011196136,0.949766516685486,0.954210877418518,0.946049153804779,0.913321018218994,0.903776526451111,0.918880641460419,0.90792578458786,1,0.99736499786377,0.996191740036011,0.997134923934937,0.976363360881805,0.969920039176941,0.976421892642975,0.971475720405579,0.977541744709015,0.974236130714417,0.976051390171051,0.965354025363922,0.942790806293488,0.94027191400528,0.940180003643036,0.937367737293243,0.625061810016632,0.660240769386292,0.665975332260132,0.63266783952713,0.667089700698853,0.650640964508057,0.652114808559418,0.642898619174957
"Day7_B6_1",-0.0328593142330647,0.0798965245485306,0.175614655017853,0.188906505703926,-0.0149736041203141,0.0585334002971649,0.00633540470153093,0.897787034511566,0.900406956672668,0.899754822254181,0.885335087776184,0.959651291370392,0.951295256614685,0.967039406299591,0.952521026134491,0.946811318397522,0.941081523895264,0.94698041677475,0.935616910457611,0.91476708650589,0.906539857387543,0.919814944267273,0.908523619174957,0.99736499786377,1,0.990318596363068,0.992384314537048,0.98070502281189,0.973226249217987,0.980916142463684,0.976628601551056,0.980330288410187,0.977860808372498,0.976365685462952,0.969954967498779,0.947978317737579,0.945124864578247,0.945361077785492,0.94281667470932,0.627023279666901,0.657343447208405,0.6616051197052,0.632519841194153,0.664299786090851,0.650556743144989,0.651305377483368,0.643620908260345
"Day7_B6_2",-0.0315227434039116,0.127319201827049,0.217436522245407,0.22910962998867,-0.042204525321722,0.0330324955284595,-0.0202219467610121,0.871196866035461,0.875990211963654,0.871945977210999,0.858018338680267,0.960635900497437,0.953703105449677,0.967522919178009,0.952478289604187,0.956105530261993,0.946340680122375,0.952741801738739,0.952730059623718,0.904817759990692,0.895765244960785,0.909696698188782,0.899679780006409,0.996191740036011,0.990318596363068,1,0.989429414272308,0.969315052032471,0.962746322154999,0.969938337802887,0.964065968990326,0.972987532615662,0.969363212585449,0.972212076187134,0.960423409938812,0.937576830387115,0.936705410480499,0.935656309127808,0.930076956748962,0.617170929908752,0.659736096858978,0.666576027870178,0.629299759864807,0.666493237018585,0.648350715637207,0.650983035564423,0.640577375888824
"Day7_B6_3",-0.0312376990914345,0.0934424623847008,0.183310404419899,0.183996424078941,-0.0273455288261175,0.0371226035058498,-0.0198525935411453,0.893240690231323,0.896339595317841,0.893413662910461,0.882098495960236,0.962846755981445,0.957776308059692,0.966960668563843,0.955560564994812,0.95523738861084,0.952918529510498,0.954074859619141,0.941521823406219,0.91161835193634,0.90041184425354,0.918263554573059,0.906862139701843,0.997134923934937,0.992384314537048,0.989429414272308,1,0.96990293264389,0.964648008346558,0.969285070896149,0.96460223197937,0.970265507698059,0.966468453407288,0.970543920993805,0.956764340400696,0.934094190597534,0.93038946390152,0.930869698524475,0.930400252342224,0.62487655878067,0.657608449459076,0.663702547550201,0.630262136459351,0.664376258850098,0.647006332874298,0.648096680641174,0.638573169708252
"Day7_MRL_Average",-0.0345457270741463,0.0493066795170307,0.14287856221199,0.181364163756371,0.0115380091592669,0.110924206674099,0.0512571111321449,0.894953906536102,0.897996485233307,0.896543383598328,0.882477223873138,0.953654706478119,0.94322794675827,0.964599013328552,0.945090234279633,0.925635039806366,0.919953346252441,0.927000522613525,0.913559556007385,0.919241189956665,0.909449934959412,0.92459499835968,0.914234757423401,0.976363360881805,0.98070502281189,0.969315052032471,0.96990293264389,1,0.99404501914978,0.997980058193207,0.996442437171936,0.979565858840942,0.97651731967926,0.970330893993378,0.975642085075378,0.967417776584625,0.965410709381104,0.966117382049561,0.960116744041443,0.626335918903351,0.655493378639221,0.651250958442688,0.636118412017822,0.654350638389587,0.658074378967285,0.648907244205475,0.650915920734406
"Day7_MRL_1",-0.0352111645042896,0.0566386170685291,0.143638238310814,0.181194424629211,0.0113152451813221,0.0988995134830475,0.0369430035352707,0.887205719947815,0.891400873661041,0.88928496837616,0.873184680938721,0.954231858253479,0.945651710033417,0.963287889957428,0.945640921592712,0.924878180027008,0.91950124502182,0.926604866981506,0.9121173620224,0.919029772281647,0.907451033592224,0.925512194633484,0.914731562137604,0.969920039176941,0.973226249217987,0.962746322154999,0.964648008346558,0.99404501914978,1,0.987793803215027,0.983129739761353,0.971207320690155,0.968454718589783,0.964256763458252,0.964593887329102,0.958988845348358,0.957893848419189,0.959672152996063,0.949203729629517,0.615421891212463,0.647620797157288,0.642488598823547,0.628461480140686,0.643869161605835,0.648268818855286,0.638286590576172,0.64032244682312
"Day7_MRL_2",-0.0334442630410194,0.0443620793521404,0.139634743332863,0.177580147981644,0.0186152793467045,0.108519285917282,0.0536289848387241,0.898071467876434,0.900451123714447,0.899941563606262,0.885948956012726,0.953139901161194,0.942148387432098,0.963974237442017,0.94530862569809,0.923824667930603,0.917476534843445,0.925011396408081,0.912690460681915,0.923456788063049,0.915325105190277,0.927575469017029,0.917933821678162,0.976421892642975,0.980916142463684,0.969938337802887,0.969285070896149,0.997980058193207,0.987793803215027,1,0.994548141956329,0.980131566524506,0.976166188716888,0.971489071846008,0.976502656936646,0.968251943588257,0.966001212596893,0.96678102016449,0.961316883563995,0.627979874610901,0.655806124210358,0.651358604431152,0.637858867645264,0.655042827129364,0.65795111656189,0.649632453918457,0.651702165603638
"Day7_MRL_3",-0.034601517021656,0.0465117059648037,0.143748015165329,0.183244198560715,0.00455056363716722,0.123830139636993,0.0623093694448471,0.889214158058167,0.891756594181061,0.890025675296783,0.878036975860596,0.942728996276855,0.931178689002991,0.955506265163422,0.933555364608765,0.917629301548004,0.912380218505859,0.918804407119751,0.905421257019043,0.904751479625702,0.895162403583527,0.910174369812012,0.899625480175018,0.971475720405579,0.976628601551056,0.964065968990326,0.96460223197937,0.996442437171936,0.983129739761353,0.994548141956329,1,0.976008951663971,0.973621904850006,0.964051723480225,0.974467217922211,0.963800072669983,0.961166799068451,0.96074378490448,0.958647310733795,0.628230214118958,0.655409634113312,0.652291238307953,0.634617507457733,0.656453609466553,0.660288453102112,0.651175498962402,0.653073668479919
"Day14_B6_Average",-0.0366213992238045,0.0205131620168686,0.105263844132423,0.174848228693008,0.0417098738253117,0.0762857049703598,0.0712064206600189,0.925089597702026,0.929521918296814,0.923337042331696,0.914218068122864,0.950268626213074,0.94128555059433,0.957777380943298,0.943775057792664,0.930739283561707,0.924432992935181,0.931493818759918,0.919872283935547,0.93585342168808,0.927836954593658,0.937694370746613,0.932310819625854,0.977541744709015,0.980330288410187,0.972987532615662,0.970265507698059,0.979565858840942,0.971207320690155,0.980131566524506,0.976008951663971,1,0.994728982448578,0.993784546852112,0.994701862335205,0.982207238674164,0.979893386363983,0.979626655578613,0.976147651672363,0.639401435852051,0.656225085258484,0.65542209148407,0.642956972122192,0.656498491764069,0.652625441551208,0.660079061985016,0.655673444271088
